implementation,shape_type,m,n,q,p,total_ops,avg_seconds,avg_speedup,avg_serial_speedup,avg_cost,sample_count
Implementation 1 (Serial),m_dominant,3600,1800,1200,25,15552000000,11.985736000,1.000000,1.000000,11.985736000,1
Implementation 1 (Serial),m_dominant,3600,1800,1800,1,23328000000,23.173109000,1.000000,1.000000,23.173109000,1
Implementation 1 (Serial),m_dominant,3600,1800,1800,4,23328000000,23.173109000,1.000000,1.000000,23.173109000,1
Implementation 1 (Serial),m_dominant,3600,1800,1800,9,23328000000,23.173109000,1.000000,1.000000,23.173109000,1
Implementation 1 (Serial),m_dominant,3600,1800,1800,16,23328000000,23.173109000,1.000000,1.000000,23.173109000,1
Implementation 1 (Serial),m_dominant,3600,1800,1800,25,23328000000,23.173109000,1.000000,1.000000,23.173109000,1
Implementation 1 (Serial),m_dominant,3600,1800,2400,1,31104000000,48.414222000,1.000000,1.000000,48.414222000,1
Implementation 1 (Serial),m_dominant,3600,1800,2400,4,31104000000,48.414222000,1.000000,1.000000,48.414222000,1
Implementation 1 (Serial),m_dominant,3600,1800,2400,9,31104000000,48.414222000,1.000000,1.000000,48.414222000,1
Implementation 1 (Serial),m_dominant,3600,1800,2400,16,31104000000,48.414222000,1.000000,1.000000,48.414222000,1
Implementation 1 (Serial),m_dominant,3600,1800,2400,25,31104000000,48.414222000,1.000000,1.000000,48.414222000,1
Implementation 1 (Serial),m_dominant,3600,1800,3000,1,38880000000,43.204875000,1.000000,1.000000,43.204875000,1
Implementation 1 (Serial),m_dominant,3600,1800,3000,4,38880000000,43.204875000,1.000000,1.000000,43.204875000,1
Implementation 1 (Serial),m_dominant,3600,1800,3000,9,38880000000,43.204875000,1.000000,1.000000,43.204875000,1
Implementation 1 (Serial),m_dominant,3600,1800,3000,16,38880000000,43.204875000,1.000000,1.000000,43.204875000,1
Implementation 1 (Serial),m_dominant,3600,1800,3000,25,38880000000,43.204875000,1.000000,1.000000,43.204875000,1
Implementation 1 (Serial),m_dominant,3600,2400,600,1,10368000000,7.406528000,1.000000,1.000000,7.406528000,1
Implementation 1 (Serial),m_dominant,3600,2400,600,4,10368000000,7.406528000,1.000000,1.000000,7.406528000,1
Implementation 1 (Serial),m_dominant,3600,2400,600,9,10368000000,7.406528000,1.000000,1.000000,7.406528000,1
Implementation 1 (Serial),m_dominant,3600,2400,600,16,10368000000,7.406528000,1.000000,1.000000,7.406528000,1
Implementation 1 (Serial),m_dominant,3600,2400,600,25,10368000000,7.406528000,1.000000,1.000000,7.406528000,1
Implementation 1 (Serial),m_dominant,3600,2400,1200,1,20736000000,27.243031000,1.000000,1.000000,27.243031000,1
Implementation 1 (Serial),m_dominant,3600,2400,1200,4,20736000000,27.243031000,1.000000,1.000000,27.243031000,1
Implementation 1 (Serial),m_dominant,3600,2400,1200,9,20736000000,27.243031000,1.000000,1.000000,27.243031000,1
Implementation 1 (Serial),m_dominant,3600,2400,1200,16,20736000000,27.243031000,1.000000,1.000000,27.243031000,1
Implementation 1 (Serial),m_dominant,3600,2400,1200,25,20736000000,27.243031000,1.000000,1.000000,27.243031000,1
Implementation 1 (Serial),m_dominant,3600,2400,1800,1,31104000000,33.878836000,1.000000,1.000000,33.878836000,1
Implementation 1 (Serial),m_dominant,3600,2400,1800,4,31104000000,33.878836000,1.000000,1.000000,33.878836000,1
Implementation 1 (Serial),m_dominant,3600,2400,1800,9,31104000000,33.878836000,1.000000,1.000000,33.878836000,1
